,date,body
0,2019-08-1,"  My father's behavior has been very peculiar lately. He and Mom have been married for 45 years. Of course, all marriages go through ups and downs. They have had their share of health problems. Both are doing  but are dealing with some medical issues.Because of my father's actions, I'm afraid for my mother's emotional state. He stays gone for long periods of time throughout the day and sometimes stays out until the early morning of the next day. She always stays up until he gets home. When she calls or texts him, at times he doesn't respond. I've also called or texted him while he was out. When I tried talking to him, he said he doesn't have to explain himself. He's not the best at staying on track when it comes to taking care of himself. It's like he is living another life.I'm not sure what's going on between my parents. I just know I don't like to see Mom treated this way because it's disrespectful, and I can see she's hurting. My relationship with my father is suffering because of this. I asked him to come to family counseling with me, my siblings and mother. He refuses. I'm praying about this. I just don't know what else we can do. Please help. --    You cannot force your father into family counseling, but you and your siblings can continue to give your mother emotional support during this difficult time, and that's what I urge you to do. I don't know what your father is up to and neither do you. But if it becomes necessary, a private detective can fill you in, I'm sure."
1,2019-08-1,"  I am in a loving and rewarding marriage. Because we have no children, my husband and I are best friends who devote most of our time to each other. My issue is with some of his habits.He is kind of clumsy, and this has resulted in the destruction of many things in our home -- our carpet (spills that can't be cleaned), coffee table (discolored from spilling a caustic material) and sofa (spilled wax and cigar burns). I know he doesn't do this intentionally, but nonetheless, it makes me irate. And it is constant. He apologizes for it, yet it occurs repeatedly.Is there anything I can do to change this, or must I accept the incremental destruction of my home? And if that's the case, what can I tell myself to make me less angry about it? -- .    .  A certain amount of wear and tear is normal. But your husband may be one of those people -- many people are -- who ""lives"" on the sofa. Much of your problem might be eliminated if you made sure that snacks are consumed in the kitchen and no beverages more colorful than water are enjoyed in front of the television. If that's not feasible, consider durable, stain-resistant fabrics when you re-cover your sofa."
2,2019-08-2,"  I saw something shocking, and I need help. While working at my job at a hospital, I saw the man my mother is married to. He was there for an appointment. He did not see me, and I didn't have the courage to approach him because he was dressed as a woman. There is no mistaking it was him.I don't know how to even begin to handle this. He has always been wonderful, especially to my mom. I am afraid if I don't tell her, she will find out and be destroyed, and if I do tell her, the same thing will happen. What do I do? --     Talk to your mother's husband -- who may be a cross-dresser or have gender identity issues -- about the fact that you saw him and give him a chance to explain. Do not be surprised if he tells you your mother is aware that he dresses this way some of the time."
3,2019-08-2,"  My husband was previously married for five years and had been widowed shortly before we met. He and his late wife had matching tattoo wedding bands. They had agreed they'd both be cremated upon their demise and that eventually they would be ""reunited"" by combining their ashes after his death.My question is, what can we do to honor our marriage vows without removing the tattoo that will be respectful yet completely our own symbol of our vows? Secondly, I'm uncomfortable with the combining of their ashes. I'm 48 years old, and he is 44, so we have the potential for many more years of marriage than they had, but I do not want to completely dismiss her memory. What should I do about this? --       You could honor your wedding vows by wearing matching wedding rings. As for the ""ashes"" promise, talk to your husband about what his wishes currently are should he predecease you. He may have changed his mind about combining his ashes with hers -- or not. If the two of you are together longer than he was with his first wife, his feelings on the subject may change."
4,2019-09-1,"  I am writing this with overwhelming sadness. My 75-year-old husband is a tyrant. Our neighbors hate him, and so do our children. He is an overbearing, impetuous child.I cry every day. I can't talk to him without him yelling. I am a subservient person. How do I go on with this? He is very healthy. I try so hard, and I have no life. He says mean things to me all the time. Please give me some advice. --     Please start asking yourself why you think you deserve the verbal abuse you receive from your husband and why you tolerate his bullying. Were you raised this way? What message has it sent to your children? Then remind yourself that we have only one life to live. Is this how you intend to spend it until the day you die or he does?Gather all the information you can regarding your husband's (and your) finances. Once you have that information, contact a lawyer who specializes in family law. I can't change your husband and neither can you. But you can change the way you react to his verbal abuse by refusing to tolerate it any longer."
5,2019-09-1,"  My wife and I are retired and fortunate to travel often throughout the year. We prefer to stay in homes either through a home exchange or home rental by owner.The change in scenery unfailingly increases her libido, and she often tries to initiate lovemaking at bedtime. I have told her I'm not comfortable having sex in another couple's bed. I feel it's disrespectful of their space and violates the trust the owners place in us by letting us use their house. She views it as the same as a hotel room since we pay to rent the house. Are there generally accepted practices regarding this? --      The generally accepted practice is to leave the property in the pristine condition in which you found it. This does not mean you and your wife must live a monklike existence while you are there, and I'm sure no one would expect you to."
6,2019-09-2,"  I live in a townhouse in a small development -- just four townhomes with a very relaxed . Since it's just the four of us, we discuss things like needed repairs and come to an agreement.Our problem is our newest neighbor. She smokes outside at all hours. It prevents the rest of us from enjoying our own outside spaces, nor can we open our windows for fresh air.As far as I know, she smokes only outside and not inside. What can we say or do so we can enjoy our decks and patio spaces or leave our windows open without being smoked out? --       Because your homeowners association is so tiny that you have no manager to handle this, it is important you approach this sensitive problem with a positive attitude. This woman is the newest member of your four-unit ""family,"" and this will be a long-term relationship -- for better or for worse. Remember it must be built on trust and mutual respect.Come together in a neighborly way to discuss other matters that need to be dealt with and then raise this subject in a noncontentious way. The solution might be something as simple as her agreeing to walk farther from the building when she smokes. Determine what would be acceptable and work from there."
7,2019-09-2,"  Our grandniece was supposed to be married in April 2018, but a week before the wedding she caught her fiance cheating, and the wedding was called off. We live 1,000 miles away, so several weeks before the wedding, we went online to their gift registry and had a gift valued at more than $250 shipped directly to them. The mother of the bride confirmed when the gift was received.After the wedding date passed, we thought we would receive reimbursement or be asked if we wanted the gift returned. It has been a little over a year now and not one word has been mentioned about returning any gifts. Other family members are in the same situation as we are.Isn't it proper to return gifts if the wedding is called off? If it was an inexpensive, small gift we wouldn't feel so bad. Are we wrong to be hurt and a bit shocked? --    No, you are not wrong. I assume you never received a thank-you for your generosity either.Wedding gifts are not to be considered consolation prizes. The rule of etiquette is, if there has been no wedding and the wedding gift has not been used, it should be returned to the sender."
8,2019-09-3,"  My husband died in 2001. There is a man I have been seeing for 17 years I'll call Jack. He has a home in Georgia. I live in Pennsylvania, where I share a home with my grown son and my daughter, her husband and my 6-year-old grandson.Jack has now retired and wants me to move down to Georgia with him. I have a mortgage on my home, which I pay. My kids cannot afford that payment, although they do contribute a little every month to live there. I can't just quit my job and go to Georgia and look for a job. I need to have one before I go down there.Well, I finally landed a job there, but sadly, they don't offer benefits, which worries me. My other issue is, I am very close to my grandson. I'll be 12 hours away, so besides video-chatting, I won't get to see him or interact with him.Anytime I have gone to Georgia for a week and returned home, my grandson was very emotional. I am scared that if I go to Georgia and the boy doesn't do well with the situation, I will be stuck down there. Visiting home will be almost impossible as I only get one week's vacation with this new job, and I can't just jump in the car on a weekend because I would be driving the whole weekend and not have any time to spend with my family.I am torn between going and not going. I honestly don't know what to do. I am just so scared. What would you do? --     The ideal solution would be for Jack to move where you are so you can keep your job and benefits and pay the mortgage on your home. Your adult children are not financially independent, and your grandson is not emotionally resilient enough to adjust to your absence. I do not think you are in a position to go anywhere until these issues are resolved."
9,2019-09-3,"  When ordering food at different ethnic restaurants here in the U.S., should people always speak in English, even if they are learning the language of the country the food is from? For instance, if you go to a Mexican restaurant and hear waiters speaking Spanish, and you are learning Spanish but are by no means fluent, is it polite to try and order in Spanish, or is it considered rude?My worry is that they will assume I think they don't know English and that I'm being condescending, especially if they respond with something I don't understand in the same language that I was just trying to speak. Should a person always ask, ""Can I practice my French (or any language you're trying to practice)?"" or should one save it for international travel, private language lessons or another time? What do you think is proper in this situation? --     I printed something on this subject three years ago (Sept. 5, 2016). It is worth going back into my archive and reviewing.To avoid any misunderstandings or hurt feelings, assume the server speaks English. If you wish to practice your second language, tell the person you are trying to sharpen your language skills, ask if the person would mind your doing that and ask to be corrected if you make a mistake."
