,date,body
0,"September 1, 2019","On this Labor Day weekend, we check in with readers who wrote in earlier for advice.From the female manager struggling to shed the “girl” label at work: WpGet the full experience.Choose your planArrowRightThank you for your advice on being the “girl at work.” I don’t think I’ve made any real progress in changing the culture, but at least speaking up now feels more routine and less earth-shattering/job-compromising/aggressive, just like correcting a poor pronunciation of my name. And, although top-down change seems unlikely, I now have a plan on how to bring this up with other senior managers, in a way that hopefully nudges a bottom-up change.Also, I was amused by readers’ assumptions about where I was writing from. I’m actually working in a supposedly progressive city.Story continues below  From the reader with an overly huggy co-worker:We had a serious conversation, and she received that quite well. Everything has been fine since. She seems able to contain the spontaneous hugging, and she’s a wonderful addition to the team. While it wasn’t really bothersome to any of us, my concern was that we weren’t serving her well if we didn’t say that in the professional world it’s not okay and could damage her reputation as a highly competent professional.AdvertisementReaders of this column from the Sunday Magazine days may remember the 14-year-old seeking advice on how to get a job to help support the family, including two unemployed adult siblings and divorced parents living under the same roof. Here’s an update, two years later:Story continues below  I’m now a rising junior in high school. My siblings still haven’t gotten jobs, but they have gotten pretty close. We’re still struggling financially, but we’re a lot more stable now ever since my siblings and I moved with my mother out of my father’s house. I would apply for jobs as a 16-year-old, but my mom suggests that I enjoy my childhood while I can.I have a bit of great news. For over a year I’ve been part of a team developing a modification in a video game. I’m the texture artist. Although I don’t get paid, it’s certainly a great learning experience. Writing and drawing are really fun for me, and I want my future to be about them.AdvertisementI got into this when I was browsing the online community forums of one of my favorite games and volunteered to help a developer who needed design help for a game modification. I met other community members and became friends with other artists on the project.Story continues below  Eventually we left because the developer was making sexist and racist jokes and treating the female artists worse than the males. Now I am working with other community members on our own game modification, and we hope to earn royalties for it.When someone you’re working for disrespects you, then they’re not worth it. Start your own project or look for someone who will show you the respect you need.Karla: So you have a side gig doing what you love, and you already have a good sense of what you will and won’t accept from an employer. All I can add is, don’t be shy about asking to be paid for your next gig — your time and skills are valuable. But you seem to have things well in hand. Keep us posted!"
1,"September 6, 2019","Reader: There is a VP at my company who is two reporting levels above me. We attend some meetings together. Often she will start talking at length about one of her stepdaughters, who has special needs. She will disparage the child and the child's mother and go on about how crazy this child drives her. It makes everyone uncomfortable, but since she's the highest-ranked person in the room, most of us nod and try to empathize.WpGet the full experience.Choose your planArrowRightI have a child with special needs who seems to have some traits in common with the VP's stepdaughter.Whenever the VP starts talking about her stepdaughter, I feel as if she is diminishing my child as well. I've tried to change the topic or, in a more private setting, speak up for the challenges that the stepdaughter may be facing. But it is as if she does not hear or care.   I cannot keep hearing her talk about a child with special needs in this way. And yet the power dynamic is obviously on her side, and she has pushed out several people she does not like. Please advise. Also, in case you'd tell me to go to HR, she is the VP of HR.Karla: To recap, this powerful individual dominates meetings with complaints about her personal life, expresses zero compassion for her stepchild, and basically sounds like she’s one poisoned apple away from being a villain right out of fairy tale central casting. I somehow doubt she has the professionalism, empathy or self-awareness to change her behavior in response to subtle feedback from underlings.Since making a direct appeal to her seems pointless and potentially career-harming, and my next recommendation of conferring with HR is out — nice kicker, there — your other option for confronting this problem would be to go over her head, perhaps with your direct supervisor’s support.   If you want to try that route, employment law partner Amy Epstein Gluck, of FisherBroyles, recommends an in-person meeting with the VP’s direct superior, where you state that as a parent of a child with special needs, you find the statements about her special-needs stepchild insulting and derogatory, but you don’t feel secure confronting her directly. Epstein Gluck advises that you document the conversation with a follow-up email so you have something in writing in case she tries to retaliate against you for reporting her.But there is a middle ground between confrontation and implicit assent: purposeful non-reaction. Next time the VP starts nattering on in a group about the unmanageable stepchild or the incompetent mother, focus silently on something in your lap and stay disengaged until the topic changes. Odds are she won’t notice your withdrawal, but if she does, and comments on it, that gives you an opening: “Oh, you just reminded me of what my own kid is going through with [condition or disability]. It sounds like your poor kid is struggling, too.” All at once and non-combatively, you’ve just drawn your boundaries, identified where your sympathies lie, and invited a roomful of witnesses to choose a side. That’s not to say the VP won’t lash out if she recognizes how bad her reflection looks in your response, but no reasonable witness could argue that she was rightly provoked."
2,"September 13, 2019","Reader: I work in a quasi-governmental organization. My office is a public-access point for journalists, organizations and regular citizens to chime in and share information about issues of public interest. We often get phone calls and letters from people who seem unstable. Some see dark conspiracies, some report suffering fantastical events such as being killed repeatedly and brought back to life. Most of these callers just want to talk, and some of their stories are quite sad.WpGet the full experience.Choose your planArrowRightInterns handle most of these phone calls, and we train them in how to maintain boundaries. They are not to put up with abuse, and they are to alert us if they are uncomfortable. We try to be helpful and refer callers to other organizations when appropriate. So far, we are not aware of callers escalating their engagement to in-person meetings, but when drop-by visitors want to meet in person, we have staff meet them in the lobby near the guard station.Could we be making things worse by engaging with these callers? Are there best practices we should be following? Recent news reports about violent incidents in public places, and imagining how encounters with callers could go bad, seem to warrant a review of our policies.    Karla: Like government and political offices, law firms, health clinics and media outlets, your organization has to walk a fine line between being responsive to a public clientele and being vulnerable to potential threats from that clientele.Are you making things worse by engaging with unstable callers? “Isolation is one of the key problems” with troubled individuals, says Chuck Tobin, president and CEO of threat assessment firm At-Risk International and former director of security for Hillary Clinton’s presidential campaign.Tobin recommends being “respectful in engagement” and “creating a community of care” — so your policy of helping when possible is not only compassionate but also probably does more good than harm. Still, you are presumably not responsible for managing these people’s well-being, and you don’t want staff burning up time and resources that should be spent fulfilling your primary mission.   Training interns in boundary-setting and escalating concerns to senior employees is also a smart measure. But what do you then do with those escalated concerns? What if the same caller makes multiple contacts to different people or becomes fixated on an issue or a member of your staff? How do you keep track of those repeat contacts?Finally, while your organization has a responsibility to provide a safe workspace for its employees, your preventive measures should be based on a realistic perception of the threats you face — not on preconceived notions about people with mental illness or fear stoked by what seems like a weekly/daily/hourly cycle of national tragedies.For these reasons, you might consider investing in a threat assessment and security consultation to help your organization refine its system for handling public contacts efficiently and safely.   As part of that system, Tobin recommends having a centralized reporting mechanism with a team of people trained in monitoring and assessing potential threats and developing appropriate responses. Everyone in your organization should be made aware of when and how to report concerns to the central team.If you’re too small to afford a consultation, Tobin recommends some resources that may help you develop your own practices and policies with a clear-eyed, reality-based mind-set:The FBI’s Behavioral Threat Assessment Center report, “Making Prevention a Reality: Identifying, Assessing and Managing the Threat of Targeted Attacks” includes practical, concrete strategies and guidelines in assessing and managing threats.Story continues below  The Society for Human Resource Management released a survey on workplace violence in March and offers a tool kit, “Understanding Workplace Violence Prevention and Response.” (It requires a login.)For professionals in law enforcement, security, legal and mental-health-care fields who want practical training in threat assessment, the Association of Threat Assessment Professionals provides education and certification to its members."
3,"September 20, 2019","Reader: I am an older woman working in a field among predominantly younger workers and would love insight on how to deal with frequent references to my age. I love what I do and have much to contribute, but the comments are starting to wear on me.WpGet the full experience.Choose your planArrowRightAs an example, at a recent conference when I was about to make a presentation, a younger colleague twice made reference to the fact that I had my notes on 5 x 7 rather than 3 x 5 note cards, saying, ""Guess that's what you gotta do when you get old.""This individual thought she was being funny and wanted to make sure everyone heard the ""joke."" I said nothing, but it pushed all my self-doubt buttons, and I gave a substandard presentation.Story continues below  I understand I could simply ignore such comments. But what I'd love is a simple, honest, thoughtful response — not snarky or confrontational, because I don't think that would stop future comments, but a way to educate the colleague on how inappropriate and harmful these ""jokes"" are.AdvertisementKarla: It’s always fun to fantasize about breezy comebacks (“Well, kiddo, I’d be happy to hand over my cards and let you present, but my notes are all in cursive”). But if you’re looking to make a point, you have several options of varying sharpness.Benefit of the doubt: “I’m sure you were just trying to make a joke, but that just came off as mean.” With a co-worker, you could add: “It also undermines me and, by extension, the employer we’re representing.”Story continues below  Feigned bafflement: “Why would you say such a thing?”Anyone who is capable of shame and truly means no harm will apologize on the spot. But you’re talking about someone who used her bizarrely specific eye for detail to draw attention to what she saw as a sign of weakness. This is not the behavior of a well-meaning professional secure in her own competence.AdvertisementIn cases like that, go for blunt: “Please stop making those comments. They’re rude, they’re not funny, and they’re ageist.”And assuming you are at least 40, you could add: “And you should know my age is a protected status under federal law.”People who wouldn’t dream of making snide remarks about someone’s race, sex or religion for fear of being sued may not realize that the federal Age Discrimination in Employment Act of 1967 (ADEA) also prohibits discrimination against workers age 40 and older.Story continues below  Laurie McCann, a senior attorney with the AARP Foundation, says general awareness about age discrimination may be lacking because “few employers . . . include age as a component” when providing diversity and anti-discrimination training, focusing instead on more familiar protected classes such as gender, race and religion. Even in litigation, says McCann, “courts tend to treat age comments differently than comments on gender and race.”AdvertisementOf course, you can ignore such comments. But as with racism, sexism and other -isms, it’s harder to ignore the disrespect behind them — or the very real bias older workers face. In a recent AARP national survey of adults older than age 45, 61 percent said they have either seen or experienced age discrimination. Nine in 10 of those said they believe it is somewhat to extremely common.Whether you say anything in the moment, document the incident afterward: what was said, when, by whom, and any witnesses who may have overheard. One stray remark is probably not something you can act on, but a documented pattern might be.Even if you don’t have access to the offenders’ managers, many event organizers have rules of conduct prohibiting attendees from demeaning or harassing others.Pro tip: Learn more about your rights and responses to age discrimination through the U.S. Equal Employment Opportunity Commission."
4,"September 28, 2019","Reader: Inspired by your advice, I've made a number of successful changes that involve actively denormalizing the [sexist] microaggressions and empowering others to do the same.First, I have flipped every response to be about the offender or the situation, not me. I realized why my previous responses didn't work: Being humorous (""I'm a grown-up!"") made the situation light enough to dismiss, and being firm (""I'm not a girl"") made people defensive. Also, these ""I"" statements made the issue about my own feelings and preferences — which, again, made it easy to dismiss.WpGet the full experience.Choose your planArrowRightSecond, I have made every response either (a) dispassionate: ""Huh, I don't think most people really use 'girls' and 'boys' in the workplace anymore,"" or (b) as awkward as possible, with a head cocked in disbelief or an ""okayyyyyy then, moving along,"" as if embarrassed for them. The former pushes them to think about what they said from a nondefensive place, and the second forces them to reflect on what part of what they said was awkward and inappropriate.   Third, I've been consistent in calling it out without exception: women, men, young, old, supervisors and clients. It's become as normal and casual to me as correcting name pronunciation.In my environment, a simple ""Ha! that's an old-fashioned line I don't hear much these days,"" or ""Sounds great, Amy, but let's introduce our team as 'women' when we go in this time,"" has worked really well. By talking with female associates and clients about adjusting our own interactions, I see much better results than if I try to fix everyone's interactions with women. Call-out culture can be perceived as aggressive, and no one likes to be lectured.Fourth, with male managers, I'm slowly bringing up the issue in shoptalk, the way I would share a budget concern or a rushed timeline. For instance, ""Is your team holding up okay after [the supervisor] spent this morning's meeting calling them all 'girls?' ""  or ""My project keeps stalling because of bad morale. Have you had any luck dealing with some of the sexism from [the client]?"" If we're just talking business in a general sense, defenses are down and — as you advised — they have a chance to consider the effect from a bottom-line standpoint.   Finally, I had to file a formal sexual harassment report on a relatively new manager, which gave me an opportunity to discuss not only the specific incident with HR, but also the culture that fosters pervasive harassment and how hard it is to report. Because I presented the Bad Culture as a bottom-line issue and was able to speak to concrete instances, the HR manager was open to the rest of the data and the ""theoreticals.""While I'm not sure what filtered up and out from this discussion with HR — aside from the perpetrator correcting his behavior — I have yet to be called ""girl"" again by anyone with the company!Karla: Much as I’d like to accept the credit, you’re the one who turned suggestions into a customized strategy, diplomatically delivered. And now I have to walk back my earlier position and concede that it may be possible after all to both keep your job and “drag [your] company into 2019.”Pro Tip: As this reader realized, “I” statements, particularly “I feel” statements, are useful in softening personal arguments, but can undermine professional ones. See an October 2018 Harvard Business Review article by management consultant Liz Kislik"
5,"October 5, 2019","  In this day and age, are we still required to use cover letters when replying to online job postings, especially sites that have one-click ""easy application"" features that let you attach a résumé and apply without going through multiple screens of questions? The basics I would include in a cover letter are already at the top of my résumé.WpGet the full experience.Choose your planArrowRightKarla: Imagine you’re a man going to a job interview at a workplace where you’ve been told the dress code is “business casual.” Do you throw a blazer over a button-down shirt and call it a day, or go the extra inch and pop on a necktie? It probably depends on the impression you want to make and how you want to brand yourself. And odds are, in all but the most aggressively casual workplaces, you won’t be penalized for wearing one. So why not?Granted, trying to draft an original cover letter for every application is overkill and a waste of time. Not every interview calls for a necktie of bespoke Italian silk, tastefully patterned and precisely knotted, with a complementary pocket square. Just as you probably have multiple ready-to-share résumés tailored to a variety of jobs, you should also have a selection of prewritten, neutral-tone standard introductory statements to pair with them. It may well be overlooked by most applicant-tracking systems or hiring managers —  but it’s a simple finishing touch, and an opportunity to make a statement about yourself.     I am trying to reenter the workforce after spending some years off with my children, and recently went back to school to earn a master's degree and update my skills. A friend who works in HR tells me that because of my master's degree, I'm overqualified for entry-level positions. But when the gap in my résumé is compared to someone who has been working for the past five years, employers deem the other candidate more reliable. What advice do you have?Karla: Claiming a degree you didn’t earn is a known sin in résumé writing — but when you’re trying to get that first foot in the door, what about not claiming a degree you did earn?“Some people interpret this as ‘dumbing down’ the résumé, but I disagree,” says Lauren Milligan, founder and chief executive of ResuMAYDAY. “A candidate is entitled to leave off information that may dissuade an employer from considering that candidate.”   However, she cautions, you should assume employers will research you online before contacting you for an interview: “If you leave your degree off your résumé, but it’s on your LinkedIn profile, that raises a red flag.”So if you’re sure your advanced degree is a hindrance rather than an asset with the jobs you’re applying to, leave it off your résumé — just make sure you’re consistent about omitting it everywhere.Or, Milligan suggests, “make sure that the rest of the résumé is written so specifically to the position that everything on the résumé [including your degree] becomes an asset.” And, says Milligan, you should be trying to “use any available space to explain the gap” in your work history and how your degree compensates for it. Space such as the summary on your LinkedIn profile, or — ta-da! — a cover letter."
6,"October 12, 2019","Reader: My partner, ""Wanda,"" works for an environmental engineering and construction oversight company. She provides third-party inspection services for general contractors to ensure that work sites are compliant with local and federal regulations.WpGet the full experience.Choose your planArrowRightWanda has a degree in environmental science and extensive field experience. She is generally confident, well-spoken and professional, and easily establishes friendly relationships with co-workers. She is also young and attractive, and occasionally is harassed by men representing the companies that hire her to be there. What bothers her most are age- and gender-based comments that make her feel small and/or unintelligent.Generally, the culprits are those trying to cut corners, as most of the general contractors understand the value of her input. Her co-workers, mostly men, have offered little support or advice when she has raised the issue.   Do you have any advice on dealing with this sort of harassment? She is occasionally alone during these encounters, so I worry about her safety, particularly if she were to call these men out. I also worry that she could face blowback in the form of lost contracts and retaliation from her own company.Work Advice: How I’m fighting sexism at the workplaceKarla: Wanda is caught in that classic Catch-22: trying to prove she should be regarded no differently from her male peers while having to work around obstacles none of her male peers are likely to encounter.Wanda’s employer is obligated to provide a safe working environment for all employees, and that extends to client interactions. If Wanda is concerned about her personal safety when conducting solo site visits, she should consider letting her managers and HR know that. They might propose a solution that offers her some backup without undermining her authority, such as having her bring a trainee along at no added cost to the client. But her employer might just decide that the easier solution is to pull her off site visits altogether.   But you’ve included a valuable nugget of information: “Generally, the culprits are those trying to cut corners.” When a client rep takes a swipe at her, she needs to immediately ask herself what he might be trying to distract her from, and pay even closer attention.Work Advice: I moved for his job, but my new job doesn’t move meWhen debriefing her bosses and colleagues after site visits, Wanda could present these incidents not as a complaint but as a litmus test: “When clients make cracks about me being young and female, it almost always turns out they’re trying to cover up noncompliance. The site foreman today made some jokes along those lines, and sure enough, I observed that the client had [cite deficiency].”By making the harassment incidental to the regulatory violation she’s been tasked with uncovering, Wanda makes it a work matter, not a personal one, and her youth and gender become a unique tactical advantage for sniffing out bad eggs.No, it’s not fair that she should have to minimize the gender bias she faces for fear that her ability to perform her job effectively might be called into question. But if a repeat client continues or escalates harassment on subsequent visits, she’ll have the history, credibility and standing to report the behavior itself."
7,"October 19, 2019","Reader: I work at a nonprofit with a mission I greatly support. I am a paid professional staff member working with a committee of volunteers. Most are lovely, but there is one I continually clash with. She is a critical person who seems to tell me everything the rest of us are doing wrong. While she knows the subject matter, her delivery leaves much to be desired; she makes demands rather than advising. I have gone out of my way to be diplomatic, but there is still tension. (She totally gave me the cold shoulder at a recent event.) She directs the group's energy away from assigned tasks to suit her own agenda. Now she's volunteered to be chair of this committee next year. This is a politically touchy situation, as I don't have the option of choosing or rejecting committee members.I need to figure out how I can work with her under these circumstances. Should I address this tension with her head on? Should I instead hold a meeting about general expectations for the committee? And how do I put my feelings away so that I can better discern whether she has a point or is overreaching? WpGet the full experience.Choose your planArrowRightKarla: Even if you had power to “fire” her, nonprofits can seldom afford to lose dedicated volunteers or subject them to the kind of structured performance management for-profit employers use. Still, you are being paid to direct resources to meet the nonprofit’s goals, so you have some leverage. Let that ground you while you process the following questions:   Should I address tension head on? Yes, you should try to defuse this situation sooner rather than later. But at this point, the interpersonal tension seems less relevant than her observable behavior. Thus:Should I hold a meeting about general expectations? Yes, and her pending promotion is the perfect opportunity. If she’s going to be given authority, she also needs to be made aware of the corresponding responsibilities and limitations: “We have to ensure that use of resources can be directly traced to the organization’s purpose. That means being prepared to face challenges from leadership and the public on how we allocate volunteer hours. As committee chair, you’ll be under especially tight scrutiny.”How do I put my feelings away so that I can better discern when she might have a point? Some people just set our teeth on edge. But we can sometimes get past that if we know and trust their motives. Do you suspect she’s gunning for your paid position, or is she just a frustrated expert whose only agenda is being right? Do you trust that she’s trying to do right, albeit in the wrong way?   Then acknowledge her strengths, even the irritating ones — “She is passionate about the cause.” “She has a sharp eye for inefficiencies” — followed by the corresponding weaknesses: “She lacks diplomacy and patience.” “She tends to micro-focus on negatives and lose perspective on the broader priorities.” Keep that information to yourself, but use it to help you understand and anticipate her behavior.When interacting with her, give her space to explain (or fumble) her position: “I’m not seeing how doing it your way is better for our mission. Can you tell me more so I can justify it if we get pushback?” And give yourself space until your initial reaction to her settles down and your vision clears: “I hear what you’re saying. Let me get back to you on that.”When tension flares up, e.g. cold shoulders, address it without assumptions: “Is everything okay?”Finally, you mention clashing with this person but not whether her fellow volunteers appreciate her initiative or chafe at her imperiousness. Cultivate your own relationships with them and invite their feedback. As mentioned, your employer can’t afford to lose volunteers — and it certainly can’t afford to let another volunteer drive them out."
8,"October 26, 2019","Reader: I work at a nonprofit that is having serious financial difficulties. Recently a part-time employee was laid off. We had an awkward party, signed a card, said goodbye . . . and then she showed up to work again the following week in the same capacity but as an unpaid volunteer.WpGet the full experience.Choose your planArrowRight In theory, this is until she finds new employment, but she enjoys the socialization in the office and does not have strong prospects for being employed elsewhere. Is this legal? Ethical? Just super bizarre?Karla: That’s a pretty neat trick your employer has pulled, getting a laid-off employee to come back and replace herself for no pay — possibly even under the fiction that this is actually doing the poor dear a favor.Story continues below  But the federal Fair Labor Standards Act, assuming it applies to your organization, might tell the story differently. The FLSA generally doesn’t allow private-sector employees to “volunteer” their labor doing jobs they were hired to perform, and it prohibits displacing paid workers for unpaid workers, such as interns or volunteers. Nonprofits get a bit more leeway, as many rely on volunteers to carry out charitable missions, but those volunteers are generally not supposed to perform commercial activities or jobs that would normally be done by paid employees of the nonprofit.AdvertisementEven if your now-unpaid colleague enjoys the social atmosphere at your workplace, it’s unclear how she can afford to go from gainful employment to volunteering. Perhaps she believes she is helping to keep a valued organization afloat through her sacrifice, or she figures even unpaid work is better than a gap in her work history. In any case, she appears unlikely to complain to anyone about the arrangement.But someone else could still tip off your state’s labor agency or the federal Labor Department’s Wage and Hour Division, which might trigger some kind of investigation or audit. Since your organization was successful in cutting one payroll expense without a corresponding loss in productivity, “other workers may fear they’ll be next,” says Paula Brantner, CEO of PB Work Solutions.Story continues below  And Brantner alerted me to another twist: Even if your employer laid off this worker to avoid having to pay her, it could end up having to pay her indirectly later on. Certain nonprofits are allowed to opt out of paying state unemployment tax and instead pay out claims only when their former employees file for unemployment. If your volunteer qualifies for unemployment, the nonprofit could receive a bill from the state for the benefits she’s receiving. And if the unemployment office asks about her job-search efforts, and it comes to light that she’s working free of charge for her old employer, that could also lead to an uncomfortable line of questioning for your organization.AdvertisementIf this arrangement really is on the up and up, the organization should “have something in writing to verify the volunteer is doing this without pressure” and “going into this with his or her eyes fully open,” with no expectation of being paid or rehired, says employment attorney Declan Leonard of Berenzweig Leonard.Or it could shift your colleague from the work she’s doing now to a truly volunteer capacity, performing duties in service of its nonprofit mission. That would give her the social contact and résumé filler she needs while helping steer the nonprofit clear of legal issues — although, of course, it doesn’t resolve the issue of how the nonprofit can fill her old job at no additional cost."
9,"November 2, 2019","  My last name is uncommon and frequently misspelled — almost always in the same way, with two letters inverted. I work as a freelance writer, and when someone on an editorial staff types my name incorrectly into a byline, I only discover the mistake once the story is printed. Not only is it frustrating to see my work incorrectly credited, but I think it reflects poorly on me when my name is misspelled in my sample clips. WpGet the full experience.Choose your planArrowRightI already put my full name in multiple places on the manuscript, and, of course, it's in my email signature. I've started wondering if I ought to take a more proactive approach by saying something like: ""Just a heads-up: My name is very easy to misspell!"" when I send in a new piece. But that might just annoy an editor by suggesting that they wouldn't double-check an author's name. (Even though, obviously, some don't.) Any suggestions?Karla: I’m sure Hilary Swank, Saoirse Ronan and Chrissy Teigen feel your pain.   Since your livelihood probably depends on having your name show up correctly in Google, Amazon and library searches, I hope you consistently pursue publications to correct your byline wherever possible — and consider reserving your best pitches for publications you can trust to (1) spell contributors’ names right and (2) offer the courtesy of at least one pre-press review.As for how to prevent it from happening in the future: Once the same error pops up more than twice, you may as well make fixing it part of your brand. Think of presidential candidate Pete Buttigieg’s “BOOT EDGE EDGE 2020” campaign T-shirts. Or think of the bedding retailer phone number forever embedded in the public consciousness as “1-800-MATTRES — Leave off the last S for savings.” Whatever gimmicky mnemonic you can come up with, fashion it into a marketing hook and hang it on your email signature, your business cards and your online bio.Pro tip: If you’ve purchased a Web domain in your name, try to also purchase domains with common misspellings of your name and set them up to redirect visitors to the correctly spelled site.   And if you can come up with a mnemonic for Karla-with-a-K that doesn’t associate me with the monstrous serial killer of the same name, I’m all ears.It ‘makes you feel invisible’  I work in a small salon. My employer recently sent me a text reminding me to ""make sure you come in with your hair done, makeup on, and a bra on."" I've worked there for a year now and this is the first time she has told me I need to wear a bra. I've never signed any sort of dress code, and I feel that this text was sent only to me because I'm the only one there who doesn't wear a bra. I'm wondering if this is legal or if it could be discriminatory. I always make sure I'm covered; if I have a thin shirt on, I wear a bralette.Karla: As I’ve said before when discussing this topic from the management perspective, employers are generally allowed to set standards for employee attire — even gender-based requirements such as makeup if they don’t impose an “unequal burden” on one gender and as long as those standards are consistently applied and enforced. Having employees sign a written policy confirming they understand those standards is good insurance but not strictly necessary.Why not ask your boss for a frank explanation of why you going braless is a problem, and see if there are alternatives you would both be amenable to? If your boss can tell you’re the only one not wearing a bra, then it seems whatever you are wearing isn’t getting the job done.Work Advice: Can I tell my employee she has to wear a bra?"
